feature_set,model,fpr,tpr,auc,n
DSP,Logistic,0.02707070707070707,0.28764652840396754,0.6278711369784409,6911
DSP,Logistic,0.02707070707070707,0.2878719567177638,0.6278711369784409,6911
DSP,Logistic,0.027474747474747475,0.2878719567177638,0.6278711369784409,6911
DSP,Logistic,0.027474747474747475,0.28809738503155996,0.6278711369784409,6911
DSP,Logistic,0.027878787878787878,0.28809738503155996,0.6278711369784409,6911
DSP,Logistic,0.027878787878787878,0.28922452660054104,0.6278711369784409,6911
DSP,Logistic,0.028282828282828285,0.28922452660054104,0.6278711369784409,6911
DSP,Logistic,0.028282828282828285,0.28990081154192965,0.6278711369784409,6911
DSP,Logistic,0.028686868686868688,0.28990081154192965,0.6278711369784409,6911
DSP,Logistic,0.028686868686868688,0.292380522993688,0.6278711369784409,6911
DSP,Logistic,0.02909090909090909,0.292380522993688,0.6278711369784409,6911
DSP,Logistic,0.02909090909090909,0.2928313796212804,0.6278711369784409,6911
DSP,Logistic,0.029494949494949494,0.2928313796212804,0.6278711369784409,6911
DSP,Logistic,0.029494949494949494,0.2957619477006312,0.6278711369784409,6911
DSP,Logistic,0.0298989898989899,0.2957619477006312,0.6278711369784409,6911
DSP,Logistic,0.0298989898989899,0.2962128043282236,0.6278711369784409,6911
DSP,Logistic,0.030303030303030304,0.2962128043282236,0.6278711369784409,6911
DSP,Logistic,0.030303030303030304,0.29643823264201985,0.6278711369784409,6911
DSP,Logistic,0.030707070707070707,0.29643823264201985,0.6278711369784409,6911
DSP,Logistic,0.030707070707070707,0.29688908926961227,0.6278711369784409,6911
DSP,Logistic,0.03111111111111111,0.29688908926961227,0.6278711369784409,6911
DSP,Logistic,0.03111111111111111,0.29981965734896304,0.6278711369784409,6911
DSP,Logistic,0.03151515151515152,0.29981965734896304,0.6278711369784409,6911
DSP,Logistic,0.03151515151515152,0.3007213706041479,0.6278711369784409,6911
DSP,Logistic,0.03191919191919192,0.3007213706041479,0.6278711369784409,6911
DSP,Logistic,0.03191919191919192,0.3025247971145176,0.6278711369784409,6911
DSP,Logistic,0.03232323232323232,0.3025247971145176,0.6278711369784409,6911
DSP,Logistic,0.03232323232323232,0.30365193868349866,0.6278711369784409,6911
DSP,Logistic,0.03272727272727273,0.30365193868349866,0.6278711369784409,6911
DSP,Logistic,0.03272727272727273,0.30387736699729484,0.6278711369784409,6911
DSP,Logistic,0.03313131313131313,0.30387736699729484,0.6278711369784409,6911
DSP,Logistic,0.03313131313131313,0.3041027953110911,0.6278711369784409,6911
DSP,Logistic,0.033535353535353536,0.3041027953110911,0.6278711369784409,6911
DSP,Logistic,0.033535353535353536,0.3056807935076646,0.6278711369784409,6911
DSP,Logistic,0.03393939393939394,0.3056807935076646,0.6278711369784409,6911
DSP,Logistic,0.03393939393939394,0.306131650135257,0.6278711369784409,6911
DSP,Logistic,0.03434343434343434,0.306131650135257,0.6278711369784409,6911
DSP,Logistic,0.03434343434343434,0.3083859332732191,0.6278711369784409,6911
DSP,Logistic,0.03515151515151515,0.3083859332732191,0.6278711369784409,6911
DSP,Logistic,0.03515151515151515,0.3099639314697926,0.6278711369784409,6911
