subject_id,session_num,run_num,trial_idx,pre_pow_05_3hz,pre_pow_8_12hz,post_pow_05_3hz,post_pow_8_12hz,delta_pow_05_3hz,delta_pow_8_12hz
BAP003,3,5,28,,,0.01336020592858865,6.993128778716608e-06,,
BAP003,3,5,29,,,0.04277924809355216,0.0002091243248643241,,
BAP003,3,5,30,,,0.011605085915419755,8.363616464061144e-05,,
BAP101,2,4,1,,,0.0763981431820938,0.0012154447795438925,,
BAP101,2,4,2,,,0.02628100392058997,0.0006154029815929505,,
BAP101,2,4,3,,,0.029979165836957623,3.265770362995733e-05,,
BAP101,2,4,4,,,0.021467263191793345,3.3884743840439536e-05,,
BAP101,2,4,5,,,0.026930764729644383,1.1351798646858242e-05,,
BAP101,2,4,6,,,0.0698149184793301,0.00017221675976175627,,
BAP101,2,4,7,,,0.046870177473472704,0.0003711918464104305,,
BAP101,2,4,8,,,0.004565497129515224,7.23599651615198e-06,,
BAP101,2,4,9,,,0.0076646750533245125,5.552000395219398e-06,,
BAP101,2,4,10,0.0,0.0,0.00285102689436079,2.946440479977867e-06,0.00285102689436079,2.946440479977867e-06
BAP101,2,4,11,0.0,0.0,0.0026454794824308063,2.838518821181657e-07,0.0026454794824308063,2.838518821181657e-07
BAP101,2,4,12,,,0.18206440902929014,0.0006256090953826699,,
BAP101,2,4,13,,,0.003129892275426556,5.528698429836478e-05,,
BAP101,2,4,14,0.0,0.0,0.0010656667821311067,1.9129548044779933e-05,0.0010656667821311067,1.9129548044779933e-05
BAP101,2,4,15,,,0.015452884026594395,1.1243559196477003e-05,,
BAP101,2,4,16,,,0.012562236119515853,1.0765823169180871e-05,,
BAP101,2,4,17,0.0,4.061664913025595e-08,0.00052144602658868,3.072221818573608e-06,0.00052144602658868,3.0316051694433518e-06
BAP101,2,4,18,0.0,0.0,0.06131548470946299,0.0003679784902424147,0.06131548470946299,0.0003679784902424147
BAP101,2,4,19,0.0,0.0,0.006170571912928441,1.2097153538952883e-05,0.006170571912928441,1.2097153538952883e-05
BAP101,2,4,20,,,0.005312545625421939,2.0403415549642888e-05,,
BAP101,2,4,21,,,0.01306571003214789,1.5706861522014476e-05,,
BAP101,2,4,23,,,0.05461538830125304,0.0001120955756138717,,
BAP101,2,4,24,,,0.010264136958031326,1.3142298030572107e-05,,
BAP101,2,4,25,,,0.01036646894301741,0.00011892041916039886,,
BAP101,2,4,26,,,0.018882840757654454,0.00013588032187114305,,
BAP101,2,4,27,,,0.012691704062699476,7.4317663856159565e-06,,
BAP101,2,4,28,,,0.010331937675293869,1.4119948421741641e-05,,
BAP101,2,4,29,,,0.004690059167142582,1.3107878081119497e-05,,
BAP101,2,4,30,,,0.32629809488243167,0.0003455728913150694,,
BAP101,2,5,1,,,0.005981390580446093,3.965732599816386e-06,,
BAP101,2,5,2,,,0.015604828129240564,3.711544846488175e-05,,
BAP101,2,5,3,,,0.04303423549711184,0.00020749850240802748,,
BAP101,2,5,4,,,0.04951110060316579,0.00028598186045350823,,
BAP101,2,5,5,,,0.01945798528862191,3.7267641014171787e-06,,
BAP101,2,5,6,,,0.04695651077898347,0.00011603290901271303,,
BAP101,2,5,7,,,0.006957946926256211,2.9264673432883917e-05,,
BAP101,2,5,8,,,0.1313015422143878,2.3600097778885785e-05,,
BAP101,2,5,9,0.0,6.946290946143735e-35,0.003326882768278956,1.888023261617669e-06,0.003326882768278956,1.888023261617669e-06
BAP101,2,5,10,,,0.01532875225181781,1.9286650177357294e-05,,
BAP101,2,5,11,0.0,0.0,0.04066416461639012,4.986595670148123e-05,0.04066416461639012,4.986595670148123e-05
BAP101,2,5,12,,,0.020456300389732632,0.0002199349622492625,,
BAP101,2,5,13,,,0.023104405418212282,1.4508718122593402e-05,,
BAP101,2,5,14,0.0,4.624451825503565e-34,0.003671115446152988,7.146742129454071e-06,0.003671115446152988,7.146742129454071e-06
BAP101,2,5,15,,,0.09620196287483991,0.00014593880720795363,,
BAP101,2,5,16,,,0.004471621728608235,7.96795027089426e-06,,
BAP101,2,5,17,,,0.041408388340621986,0.00035443171090259265,,
BAP101,2,5,18,,,0.019766118425036602,1.2304190159890155e-05,,
BAP101,2,5,19,0.0,0.0,0.005733288419395125,3.7839123748125626e-06,0.005733288419395125,3.7839123748125626e-06
BAP101,2,5,20,,,0.035626520308877196,1.291712684336464e-05,,
BAP101,2,5,21,,,0.016184683315567144,3.308615595690369e-05,,
BAP101,2,5,22,,,0.05750910198873601,0.0004039812696713889,,
BAP101,2,5,23,,,0.014108157923538171,9.955549071735434e-06,,
BAP101,2,5,24,,,0.033910503586294403,0.000335915539236305,,
BAP101,2,5,25,0.0,0.0,0.004721735465548697,0.00019233751365388199,0.004721735465548697,0.00019233751365388199
BAP101,2,5,26,,,0.06397949881081855,0.00023916433636157554,,
BAP101,2,5,27,,,0.09962538052302232,0.0002602825808505296,,
BAP101,2,5,28,0.0,0.0,0.015926856765038286,3.0069161665654065e-05,0.015926856765038286,3.0069161665654065e-05
BAP101,2,5,29,,,0.0071336414586658636,1.722173298982319e-05,,
